date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:38	109/109	---M-Z	200	added ('OK')	text/plain	etag:%221003-1723133471;gz%22	https://lovepix.blog/robots.txt		(from )
13:58:38	62191/62191	---MCZ	200	added ('OK')	text/html	etag:%221004-1723136292;gz%22	https://lovepix.blog/escolhalover/	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/escolhalover/index.html	(from )
13:58:39	212120/212120	---M-Z	200	added ('OK')	text/css	etag:%2233c98-66a54afc-2f2af877d349db2d;gz%22	https://lovepix.blog/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.23.3	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/wp-content/plugins/elementor/assets/css/frontend-lite.min28fc.css	(from https://lovepix.blog/escolhalover/)
13:58:39	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-66a54afc-6474d1fd84a08804;gz%22	https://lovepix.blog/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://lovepix.blog/escolhalover/)
13:58:39	1168/1168	---M-Z	200	added ('OK')	text/css	etag:%22490-66b45a74-5b0ff17afb9287b6;gz%22	https://lovepix.blog/wp-content/uploads/elementor/css/post-8.css?ver=1723095668	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/wp-content/uploads/elementor/css/post-8f5e9.css	(from https://lovepix.blog/escolhalover/)
13:58:39	11052/11052	---M-Z	200	added ('OK')	text/css	etag:%222b2c-66a54b30-5e67c22be8cba03;gz%22	https://lovepix.blog/wp-content/plugins/pro-elements/assets/css/frontend-lite.min.css?ver=3.23.1	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/wp-content/plugins/pro-elements/assets/css/frontend-lite.min93d8.css	(from https://lovepix.blog/escolhalover/)
13:58:39	46648/46648	---M-Z	200	added ('OK')	text/css	etag:%22b638-66b45a74-c9af52dcc1805a22;gz%22	https://lovepix.blog/wp-content/uploads/elementor/css/global.css?ver=1723095668	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/wp-content/uploads/elementor/css/globalf5e9.css	(from https://lovepix.blog/escolhalover/)
13:58:39	1868/1868	---M-Z	200	added ('OK')	text/css	etag:%2274c-66b4f924-952a81708adb6726;gz%22	https://lovepix.blog/wp-content/uploads/elementor/css/post-32.css?ver=1723136292	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/wp-content/uploads/elementor/css/post-3265a7.css	(from https://lovepix.blog/escolhalover/)
13:58:40	3829/3829	---M-Z	200	added ('OK')	text/css	etag:%22ef5-66b45a4a-4342402faf7d4fdd;gz%22	https://lovepix.blog/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=5.9.27	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min9cb2.css	(from https://lovepix.blog/escolhalover/)
13:58:40	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215601-66a53ddd-b3bb4364851cb765;gz%22	https://lovepix.blog/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/osami/Desktop/etapa%20pos%20type/lovepix.blog/wp-includes/js/jquery/jquery.minf43b.js	(from https://lovepix.blog/escolhalover/)
